text,category
😮,People
😯,People
😲,People
😳,People
🥺,People
😦,People
😧,People
😨,People
😰,People
😥,People
😢,People
😭,People
😱,People
😖,People
😣,People
😞,People
😓,People
😩,People
😫,People
😤,People
😡,People
😠,People
🤬,People
😈,People
👿,People
💀,People
☠,People
💩,People
🤡,People
👹,People
👺,People
👻,People
👽,People
🤖,People
😺,People
😸,People
😹,People
😻,People
😼,People
😽,People
🙀,People
😿,People
😾,People
💋,People
👋,People
🤚,People
🖐,People
✋,People
🖖,People
👌,People
✌,People
🤞,People
🤟,People
🤘,People
🤙,People
👈,People
👉,People
👆,People
🖕,People
👇,People
☝,People
👍,People
👎,People
✊,People
👊,People
🤛,People
🤜,People
👏,People
🙌,People
👐,People
🤲,People
🤝,People
🙏,People
✍,People
💅,People
🤳,People
🦵,People
🦶,People
👂,People
👃,People
🧠,People
🦷,People
🦴,People
👀,People
👁,People
👅,People
👄,People
👶,People
🧒,People
👦,People
👧,People
🧑,People
👱,People
🧔,People
👱‍♂️,People
👨‍🦰,People
👨‍🦱,People
👨‍🦳,People
👨‍🦲,People
👱‍♀️,People
👩‍🦰,People
👩‍🦱,People
👩‍🦳,People
👩‍🦲,People
🧓,People
👴,People
👵,People
🙍,People
🙍‍♂️,People
🙍‍♀️,People
🙎,People
🙎‍♂️,People
🙎‍♀️,People
🙅,People
🙅‍♂️,People
🙅‍♀️,People
🙆,People
🙆‍♂️,People
🙆‍♀️,People
💁,People
💁‍♂️,People
💁‍♀️,People
🙋,People
🙋‍♂️,People
🙋‍♀️,People
🙇,People
🙇‍♂️,People
🙇‍♀️,People
🤦,People
🤦‍♂️,People
🤦‍♀️,People
🤷,People
🤷‍♂️,People
🤷‍♀️,People
👨‍⚕️,People
👩‍⚕️,People
👨‍🎓,People
👩‍🎓,People
👨‍🏫,People
👩‍🏫,People
👨‍⚖️,People
👩‍⚖️,People
👨‍🌾,People
👩‍🌾,People
👨‍🍳,People
👩‍🍳,People
👨‍🔧,People
👩‍🔧,People
👨‍🏭,People
👩‍🏭,People
👨‍💼,People
👩‍💼,People
👨‍🔬,People
👩‍🔬,People
👨‍💻,People
👩‍💻,People
👨‍🎤,People
👩‍🎤,People
👨‍🎨,People
👩‍🎨,People
👨‍✈️,People
👩‍✈️,People
👨‍🚀,People
👩‍🚀,People
👨‍🚒,People
👩‍🚒,People
👮,People
👮‍♂️,People
👮‍♀️,People
🕵,People
🕵️‍♂️,People
🕵️‍♀️,People
💂,People
💂‍♂️,People
💂‍♀️,People
👷,People
👷‍♂️,People
👷‍♀️,People
🤴,People
👸,People
👳,People
👳‍♂️,People
👳‍♀️,People
👲,People
🧕,People
🤵,People
🤰,People
🤱,People
👼,People
🤶,People
🦸,People
🦸‍♂️,People
🦸‍♀️,People
🦹,People
🦹‍♂️,People
🦹‍♀️,People
🧙,People
🧙‍♂️,People
🧙‍♀️,People
🧚,People
🧚‍♂️,People
🧚‍♀️,People
🧛,People
🧛‍♂️,People
🧛‍♀️,People
🧜,People
🧜‍♂️,People
🧜‍♀️,People
🧝,People
🧝‍♂️,People
🧝‍♀️,People
🧞,People
🧞‍♂️,People
🧞‍♀️,People
🧟,People
🧟‍♂️,People
🧟‍♀️,People
💆,People
💆‍♂️,People
💆‍♀️,People
💇,People
💇‍♂️,People
💇‍♀️,People
🚶,People
🚶‍♂️,People
🚶‍♀️,People
🏃,People
🏃‍♂️,People
🏃‍♀️,People
💃,People
🕺,People
👯,People
👯‍♂️,People
👯‍♀️,People
🧖,People
🧖‍♂️,People
🧖‍♀️,People
🧘,People
👭,People
👫,People
👬,People
💏,People
👨‍❤️‍💋‍👨,People
👩‍❤️‍💋‍👩,People
💑,People
👨‍❤️‍👨,People
👩‍❤️‍👩,People
👪,People
👨‍👩‍👦,People
👨‍👩‍👧,People
👨‍👩‍👧‍👦,People
👨‍👩‍👦‍👦,People
👨‍👩‍👧‍👧,People
👨‍👨‍👦,People
👨‍👨‍👧,People
👨‍👨‍👧‍👦,People
👨‍👨‍👦‍👦,People
👨‍👨‍👧‍👧,People
👩‍👩‍👦,People
👩‍👩‍👧,People
👩‍👩‍👧‍👦,People
👩‍👩‍👦‍👦,People
👩‍👩‍👧‍👧,People
👨‍👦,People
👨‍👦‍👦,People
👨‍👧,People
👨‍👧‍👦,People
👨‍👧‍👧,People
👩‍👦,People
👩‍👦‍👦,People
👩‍👧,People
👩‍👧‍👦,People
👩‍👧‍👧,People
🗣,People
👤,People
👥,People
👣,People
🧳,People
🌂,People
☂,People
🧵,People
🧶,People
👓,People
🕶,People
🥽,People
🥼,People
👔,People
👕,People
👖,People
🧣,People
🧤,People
🧥,People
🧦,People
👗,People
👘,People
👙,People
👚,People
👛,People
👜,People
👝,People
🎒,People
👞,People
👟,People
🥾,People
🥿,People
👠,People
👡,People
👢,People
👒,People
🎩,People
🧢,People
⛑,People
💄,People
💍,People
💼,People
💕,People
🌚,People
💜,People
💛,People
⚡,Utility
💡,Utility
 🔌,Utility
📺,Utility
 ⚡,Utility
 💡,Utility
 💸,Utility
💦,Utility
 💧,Utility
📱,Utility
🏢,Utility
🏣,Utility
🔥,Utility
friend,People
friendship,People
baby,People
boy,People
girl,People
help,People
like,People
love,People
mom,People
save,People
sweet,People
tank,People
thank,People
thanks,People
thx,People
ya,People
yo,People
lol,People
jj,People
lyfe,People
bro,People
brother,People
bud,People
buddy,People
dad,People
daddy,People
dude,People
fam,People
family,People
father,People
duh,People
gracias,People
people,People
ty,People
luv,People
babe,People
cool,People
guy,People
angel,People
bb,People
boi,People
bruh,People
ha,People
ily,People
mother,People
cocktail,People
scream,People
birthday,Event
christmas,Event
happy,Event
bday,Event
wedding,Event
xmas,Event
holiday,Event
hbd,Event
halloween,Event
thanksgiving,Event
bachelor,Event
bachelorette,Event
donation,Event
charity,Event
aid,Event
nye,Event
festivity,Event
formal,Event
shower,Event
photo,Event
present,Event
graduation,Event
homecoming,Event
celebration,Event
ball,Activity
boat,Activity
bar,Activity
book,Activity
club,Activity
card,Activity
dance,Activity
football,Activity
fun,Activity
game,Activity
gift,Activity
golf,Activity
hair,Activity
pt,Activity
movie,Activity
lesson,Activity
park,Activity
party,Activity
poker,Activity
pool,Activity
ticket,Activity
fantasy,Activity
tix,Activity
bowl,Activity
show,Activity
night,Activity
day,Activity
week,Activity
weekend,Activity
cover,Activity
hookah,Activity
camp,Activity
concert,Activity
bowling,Activity
ski,Activity
coachella,Activity
league,Activity
bball,Activity
soccer,Activity
softball,Activity
baseball,Activity
gym,Activity
massage,Activity
hockey,Activity
adventure,Activity
derby,Activity
band,Activity
fancy,Activity
hunt,Activity
kickball,Activity
edc,Activity
comedy,Activity
warner,Activity
lotto,Activity
tourney,Activity
funday,Activity
karaoke,Activity
play,Activity
pong,Activity
basketball,Activity
bull,Activity
activity,Activity
yoga,Activity
bach,Activity
bracket,Activity
clothes,Activity
fifa,Activity
fight,Activity
gamble,Activity
haircut,Activity
madness,Activity
draft,Activity
dope,Activity
ff,Activity
ballin,Activity
music,Activity
ncaa,Activity
shopping,Activity
shoe,Activity
trivia,Activity
sport,Activity
mountaineer,Activity
date,Activity
tutor,Activity
foxfield,Activity
flower,Activity
duke,Activity
bet,Activity
giant,Activity
giants,Activity
lakers,Activity
lake,Activity
mountain,Activity
river,Activity
fest,Activity
art,Activity
shark,Activity
shirt,Activity
board,Activity
class,Activity
coach,Activity
cup,Activity
dress,Activity
escape,Activity
flag,Activity
gear,Activity
horse,Activity
jacket,Activity
jam,Activity
jersey,Activity
sweater,Activity
sweatshirt,Activity
tshirt,Activity
math,Activity
master,Activity
paint,Activity
raffle,Activity
season,Activity
pass,Activity
social,Activity
sock,Activity
sox,Activity
squad,Activity
suit,Activity
survivor,Activity
tour,Activity
war,Activity
warrior,Activity
cinema,Activity
theater,Activity
tennis,Activity
us open,Activity
rage,Activity
volleyball,Activity
paintball,Activity
futbol,Activity
ufc,Activity
lolla,Activity
disney,Activity
championship,Activity
basket,Activity
film,Activity
ktv,Activity
printing,Activity
walk,Activity
polish,Activity
fishing,Activity
earring,Activity
bollywood,Activity
settle,Activity
course,Activity
postcard,Activity
giftwrap,Activity
textpad,Activity
beach,Travel
place,Travel
la,Travel
world,Travel
hotel,Travel
trip,Travel
vega,Travel
tahoe,Travel
nyc,Travel
dc,Travel
sf,Travel
island,Travel
cabo,Travel
chicago,Travel
airbnb,Travel
travel,Travel
boston,Travel
hostel,Travel
retreat,Travel
nola,Travel
miami,Travel
mexico,Travel
cancun,Travel
city,Travel
austin,Travel
sd,Travel
cabin,Travel
chi,Travel
iceland,Travel
thailand,Travel
road,Travel
Johannesburg,Travel
Cape,Travel
sb,Travel
casino,Travel
lyft,Transportation
uber,Transportation
cab,Transportation
bus,Transportation
car,Transportation
gas,Transportation
taxi,Transportation
ride,Transportation
rental,Transportation
train,Transportation
über,Transportation
ubers,Transportation
gasolina,Transportation
airport,Transportation
fuel,Transportation
cruise,Transportation
air,Transportation
limo,Transportation
bike,Transportation
bp,Transportation
shuttle,Transportation
zipcar,Transportation
transportation,Transportation
parking,Transportation
valet,Transportation
uhaul,Transportation
vroom,Transportation
tailgate,Transportation
drive,Transportation
pool,Transportation
carpool,Transportation
flight,Transportation
beep,Transportation
move,Transportation
shipping,Transportation
toll,Transportation
limo,Transportation
ubes,Transportation
gasoline,Transportation
ups,Transportation
bill,Utility
cable,Utility
fee,Utility
electric,Utility
electricity,Utility
internet,Utility
rent,Utility
wifi,Utility
utility,Utility
tax,Utility
refund,Utility
house,Utility
billz,Utility
deposit,Utility
pg,Utility
tv,Utility
paper,Utility
comcast,Utility
light,Utility
phone,Utility
power,Utility
due,Utility
home,Utility
clean,Utility
security,Utility
room,Utility
splitwise,Utility
service,Utility
laundry,Utility
pge,Utility
verizon,Utility
insurance,Utility
tp,Utility
att,Utility
cox,Utility
membership,Utility
plug,Utility
prime,Utility
h2o,Utility
xfinity,Utility
pepco,Utility
housing,Utility
renter,Utility
heat,Utility
agua,Utility
peco,Utility
check,Utility
charter,Utility
netflix,Utility
sdge,Utility
fridge,Utility
ikea,Utility
bge,Utility
interwebs,Utility
amazon,Utility
apartment,Utility
apt,Utility
babysitting,Utility
cleaning,Utility
cleaner,Utility
furniture,Utility
lift,Utility
casa,Utility
cell,Utility
energy,Utility
twc,Utility
drycleaning,Utility
coned,Utility
spotify,Utility
bed,Utility
garbage,Utility
bills,Utility
dte,Utility
table,Utility
trash,Utility
apple,Utility
delivery,Utility
bag,Utility
usps,Utility
com,Utility
ac,Utility
carpet,Utility
cat,Utility
chair,Utility
couch,Utility
dry,Utility
essential,Utility
garden,Utility
grid,Utility
key,Utility
kitchen,Utility
lady,Utility
lawn,Utility
maid,Utility
prime,Utility
puppy,Utility
rack,Utility
shelter,Utility
storage,Utility
textbook,Utility
tj,Utility
toilet,Utility
towel,Utility
tube,Utility
wash,Utility
iphone,Utility
edison,Utility
mask,Utility
chopsticks,Utility
tmobile,Utility
dresser,Utility
atm,Cash
bank,Cash
cash,Cash
money,Cash
buck,Cash
wallet,Cash
monies,Cash
tip,Cash
dollar,Cash
payback,Cash
lettuce,Cash
watch,Cash
hat,Cash
supreme,Cash
bitcoin,Cash
robinhood,Cash
balance,Cash
expenses,Cash
rmb,Cash
pound,Cash
addiction,Illegal/Sarcasm
drug,Illegal/Sarcasm
wangs,Illegal/Sarcasm
weed,Illegal/Sarcasm
anal,Illegal/Sarcasm
bj,Illegal/Sarcasm
blowjob,Illegal/Sarcasm
boob,Illegal/Sarcasm
booty,Illegal/Sarcasm
blow,Illegal/Sarcasm
cocaine,Illegal/Sarcasm
cock,Illegal/Sarcasm
dirty,Illegal/Sarcasm
dd,Illegal/Sarcasm
crack,Illegal/Sarcasm
bang,Illegal/Sarcasm
dank,Illegal/Sarcasm
dick,Illegal/Sarcasm
fart,Illegal/Sarcasm
fuck,Illegal/Sarcasm
gay,Illegal/Sarcasm
hooker,Illegal/Sarcasm
meth,Illegal/Sarcasm
lube,Illegal/Sarcasm
nude,Illegal/Sarcasm
otphj,Illegal/Sarcasm
kale,Illegal/Sarcasm
penis,Illegal/Sarcasm
pat,Illegal/Sarcasm
porn,Illegal/Sarcasm
pot,Illegal/Sarcasm
pussy,Illegal/Sarcasm
sex,Illegal/Sarcasm
sexual,Illegal/Sarcasm
strip,Illegal/Sarcasm
stripper,Illegal/Sarcasm
slut,Illegal/Sarcasm
lash,Illegal/Sarcasm
titty,Illegal/Sarcasm
tit,Illegal/Sarcasm
tot,Illegal/Sarcasm
poop,Illegal/Sarcasm
pop,Illegal/Sarcasm
poop,Illegal/Sarcasm
bullshit,Illegal/Sarcasm
deez,Illegal/Sarcasm
condom,Illegal/Sarcasm
sack,Illegal/Sarcasm
5 sack,Illegal/Sarcasm
fagg,Illegal/Sarcasm
nigga,Illegal/Sarcasm
bos,Illegal/Sarcasm
asian,Illegal/Sarcasm
bae,Illegal/Sarcasm
midget,Illegal/Sarcasm
blood,Illegal/Sarcasm
damn,Illegal/Sarcasm
debt,Illegal/Sarcasm
interest,Illegal/Sarcasm
rip,Illegal/Sarcasm
line,Illegal/Sarcasm
yay,Illegal/Sarcasm
ye,Illegal/Sarcasm
yey,Illegal/Sarcasm
sexy,Illegal/Sarcasm
shit,Illegal/Sarcasm
shitty,Illegal/Sarcasm
shenanigan,Illegal/Sarcasm
allowance,Illegal/Sarcasm
idiot,Illegal/Sarcasm
alc,Illegal/Sarcasm
gash,Illegal/Sarcasm
whore,Illegal/Sarcasm
G6,Illegal/Sarcasm
foot massage,Illegal/Sarcasm
wood,Illegal/Sarcasm
america,Illegal/Sarcasm
cool,Illegal/Sarcasm
loan shark,Illegal/Sarcasm
da,Illegal/Sarcasm
life,Illegal/Sarcasm
lyfe,Illegal/Sarcasm
betch,Illegal/Sarcasm
af,Illegal/Sarcasm
fool,Illegal/Sarcasm
bird,Illegal/Sarcasm
bomb,Illegal/Sarcasm
bootihole,Illegal/Sarcasm
clutch,Illegal/Sarcasm
death,Illegal/Sarcasm
dub,Illegal/Sarcasm
dumb,Illegal/Sarcasm
fat,Illegal/Sarcasm
golden,Illegal/Sarcasm
hand,Illegal/Sarcasm
handy,Illegal/Sarcasm
hoe,Illegal/Sarcasm
hole,Illegal/Sarcasm
homie,Illegal/Sarcasm
horse,Illegal/Sarcasm
jew,Illegal/Sarcasm
job,Illegal/Sarcasm
kick,Illegal/Sarcasm
kiss,Illegal/Sarcasm
loser,Illegal/Sarcasm
stupid,Illegal/Sarcasm
lap,Illegal/Sarcasm
pee,Illegal/Sarcasm
sugar mama,Illegal/Sarcasm
meow,Illegal/Sarcasm
mo,Illegal/Sarcasm
poor,Illegal/Sarcasm
queen,Illegal/Sarcasm
secret,Illegal/Sarcasm
shut,Illegal/Sarcasm
snow,Illegal/Sarcasm
suck,Illegal/Sarcasm
suga,Illegal/Sarcasm
swag,Illegal/Sarcasm
whoop,Illegal/Sarcasm
bitch,Illegal/Sarcasm
butt,Illegal/Sarcasm
yolo,Illegal/Sarcasm
dildo,Illegal/Sarcasm
nipple,Illegal/Sarcasm
asshole,Illegal/Sarcasm
bail,Illegal/Sarcasm
butthole,Illegal/Sarcasm
tampon,Illegal/Sarcasm
illegal,Illegal/Sarcasm
prank,Illegal/Sarcasm
